timestamp,mem_available_kb,swap_used_kb,pswpin,pswpout,pgpgin,pgpgout,pid_majflt,swap_pss_kb,swap_kb,locked_kb,vmlck_kb,anon_kb,pss_anon_kb,pss_file_kb,private_dirty_kb
1782706779.034219764,80315160,301736,8012301,16604204,1530416283,3496768633,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706780.311629528,80314388,301736,8012301,16604204,1530416283,3496771757,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706781.591958989,80314208,301736,8012301,16604204,1530416283,3496771873,234358,0,0,0,0,2006748,2006748,386315,32299148
1782706782.870748026,80316628,301736,8012301,16604204,1530416283,3496772353,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706784.147336689,80315824,301736,8012301,16604204,1530416283,3496772457,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706785.429220795,80314620,301736,8012301,16604204,1530416283,3496772593,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706786.711361762,80314088,301736,8012301,16604204,1530416283,3496774165,234358,0,0,0,0,2007028,2007028,386315,32299428
1782706787.994551976,80312180,301736,8012301,16604204,1530416283,3496774361,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706789.272634415,80307816,301736,8012301,16604204,1530417791,3496774481,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706790.554989369,80309904,301736,8012301,16604204,1530417791,3496774617,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706791.841376588,80307864,301736,8012301,16604204,1530417791,3496774721,234358,0,0,0,0,2007028,2007028,386315,32299428
1782706793.120673737,80303880,301736,8012301,16604204,1530417791,3496774857,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706794.398879722,80300476,301736,8012301,16604204,1530417791,3496774961,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706795.679350862,80305060,301736,8012301,16604204,1530417791,3496775097,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706796.959105544,80305024,301736,8012301,16604204,1530417791,3496775377,234358,0,0,0,0,2007028,2007028,386315,32299428
1782706798.237455211,80305196,301736,8012301,16604204,1530417791,3496775505,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706799.513232459,80304716,301736,8012301,16604204,1530417791,3496775641,234358,0,0,0,0,2007028,2007028,386318,32299428
1782706800.791799543,80302196,301736,8012301,16604204,1530417791,3496775777,234358,0,0,0,0,2007028,2007028,386318,32299428
